Transaction Creation Cycle Date,Transaction Effective Date,Accounting Cycle Date,Accounting Company,Main Account,Sub Account,Product LOB,Description,Payee Name,Batch Number,Transaction Type,Group Number,Policy Number,Family Number,Credit/Debit,Amount,Check Number,User ID,Offset
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,14126,10000045629,F100010542,Debit,11.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,14126,10000045629,F100010542,Credit,-11.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,14126,10000045629,F100010542,Debit,11.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15207_L04,Premium Renewal,,H957,Premium,14126,10000045629,F100010542,Credit,-11.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D9394779,F100011182,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D9394779,F100011182,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D9394779,F100011182,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,41267,08D9394779,F100011182,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D9394780,F100011182,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D9394780,F100011182,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D9394780,F100011182,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,41267,08D9394780,F100011182,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41362,08D9022292,F100014159,Credit,-33.35,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41362,08D9022292,F100014159,Debit,33.35,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15210_L01,Premium Renewal,,H957,Premium,41362,08D9022292,F100014159,Credit,-33.35,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41362,08D9022292,F100014159,Debit,33.35,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D9394778,F100011182,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D9394778,F100011182,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D9394778,F100011182,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,41267,08D9394778,F100011182,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,38449,08F7615958,F100010611,Debit,16.70,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,38449,08F7615958,F100010611,Credit,-16.70,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15400_L73,Premium Renewal,,H957,Premium,38449,08F7615958,F100010611,Credit,-16.70,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,38449,08F7615958,F100010611,Debit,16.70,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D9394781,F100011182,Credit,-4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D9394781,F100011182,Debit,4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,41267,08D9394781,F100011182,Credit,-4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D9394781,F100011182,Debit,4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08D6335937,F100012373,Credit,-36.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08D6335937,F100012373,Debit,36.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08D6335937,F100012373,Debit,36.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15205_L04,Premium Renewal,,H957,Premium,35652,08D6335937,F100012373,Credit,-36.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D9394777,F100011182,Debit,18.77,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D9394777,F100011182,Credit,-18.77,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,41267,08D9394777,F100011182,Credit,-18.77,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D9394777,F100011182,Debit,18.77,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08D9486001,F100012782,Credit,-20.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08D9486001,F100012782,Debit,20.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,33825,08D9227658,F100013193,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,33825,08D9227658,F100013193,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,35652,08D9486001,F100012782,Credit,-20.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08D9486001,F100012782,Debit,20.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15205_L05,Premium Renewal,,H957,Premium,33825,08D9227658,F100013193,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,33825,08D9227658,F100013193,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08F9489185,F100012035,Debit,14.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08F9489185,F100012035,Credit,-14.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15000_L73,Premium Renewal,,H957,Premium,35652,08F9489185,F100012035,Credit,-14.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08F9489185,F100012035,Debit,14.30,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,39248,08S1784060,F100015094,Credit,-2.90,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,39248,08S1784060,F100015094,Debit,2.90,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15100_L73,Premium Renewal,,H957,Premium,39248,08S1784060,F100015094,Credit,-2.90,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,39248,08S1784060,F100015094,Debit,2.90,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,31835,08D4523458,F100010934,Debit,9.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,31835,08D4523458,F100010934,Credit,-9.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,31835,08D4523458,F100010934,Debit,9.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15210_L01,Premium Renewal,,H957,Premium,31835,08D4523458,F100010934,Credit,-9.53,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,39248,08S1876095,F100014964,Credit,-34.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,39248,08S1876095,F100014964,Debit,34.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,39248,08S1876095,F100014964,Debit,34.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15100_L73,Premium Renewal,,H957,Premium,39248,08S1876095,F100014964,Credit,-34.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D9394782,F100011182,Credit,-4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D9394782,F100011182,Debit,4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D9394782,F100011182,Debit,4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,41267,08D9394782,F100011182,Credit,-4.33,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08D6864826,F100012753,Credit,-37.64,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08D6864826,F100012753,Debit,37.64,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08D6864826,F100012753,Debit,37.64,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15205_L04,Premium Renewal,,H957,Premium,35652,08D6864826,F100012753,Credit,-37.64,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08D9486003,F100012782,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08D9486003,F100012782,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,35652,08D9486003,F100012782,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08D9486003,F100012782,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,33825,08D9227659,F100013193,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,33825,08D9227659,F100013193,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,33825,08D9227659,F100013193,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15205_L05,Premium Renewal,,H957,Premium,33825,08D9227659,F100013193,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,33825,08D9227868,F100013469,Debit,16.86,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,33825,08D9227868,F100013469,Credit,-16.86,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15205_L05,Premium Renewal,,H957,Premium,33825,08D9227868,F100013469,Credit,-16.86,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,33825,08D9227868,F100013469,Debit,16.86,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08D9486002,F100012782,Debit,18.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08D9486002,F100012782,Credit,-18.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,35652,08D9486002,F100012782,Credit,-18.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08D9486002,F100012782,Debit,18.63,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,38563,08D7545225,F100011664,Debit,38.14,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,38563,08D7545225,F100011664,Credit,-38.14,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15210_L01,Premium Renewal,,H957,Premium,38563,08D7545225,F100011664,Credit,-38.14,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,38563,08D7545225,F100011664,Debit,38.14,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08D9486004,F100012782,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08D9486004,F100012782,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,35652,08D9486004,F100012782,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08D9486004,F100012782,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,40112,08F9027136,F100100947,Credit,-10.10,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,40112,08F9027136,F100100947,Debit,10.10,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15400_L73,Premium Renewal,,H957,Premium,40112,08F9027136,F100100947,Credit,-10.10,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,40112,08F9027136,F100100947,Debit,10.10,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,40112,08F9494143,F100100873,Debit,16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,40112,08F9494143,F100100873,Credit,-16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15000_L73,Premium Renewal,,H957,Premium,40112,08F9494143,F100100873,Credit,-16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,40112,08F9494143,F100100873,Debit,16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,40112,08D8655887,F100100866,Credit,-21.66,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,40112,08D8655887,F100100866,Debit,21.66,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15210_L01,Premium Renewal,,H957,Premium,40112,08D8655887,F100100866,Credit,-21.66,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,40112,08D8655887,F100100866,Debit,21.66,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,39248,08D5421763,F100014835,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,39248,08D5421763,F100014835,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15210_L01,Premium Renewal,,H957,Premium,39248,08D5421763,F100014835,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,39248,08D5421763,F100014835,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,40112,08F9027135,F100100947,Credit,-23.40,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,40112,08F9027135,F100100947,Debit,23.40,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15000_L73,Premium Renewal,,H957,Premium,40112,08F9027135,F100100947,Credit,-23.40,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,40112,08F9027135,F100100947,Debit,23.40,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,35652,08D9489018,F100012732,Credit,-17.74,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,35652,08D9489018,F100012732,Debit,17.74,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,35652,08D9489018,F100012732,Debit,17.74,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,35652,08D9489018,F100012732,Credit,-17.74,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,40112,08F9361192,F100100866,Credit,-16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,40112,08F9361192,F100100866,Debit,16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,40112,08F9361192,F100100866,Debit,16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15000_L73,Premium Renewal,,H957,Premium,40112,08F9361192,F100100866,Credit,-16.38,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,71518,08D9610236,F100102318,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,71518,08D9610236,F100102318,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,71518,08D9610236,F100102318,Credit,-13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,71518,08D9610236,F100102318,Debit,13.00,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,40112,08F8655886,F100100866,Debit,37.45,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,40112,08F8655886,F100100866,Credit,-37.45,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15400_L73,Premium Renewal,,H957,Premium,40112,08F8655886,F100100866,Credit,-37.45,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,40112,08F8655886,F100100866,Debit,37.45,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,39248,08D5421765,F100014835,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,39248,08D5421765,F100014835,Debit,8.67,,,false
