Suspense Type,Company,Family Number,Policy Number,Group Number,Group Name,Division Number,Original Cycle Date,Suspense Account,Item Type,Item Status,Item Age,Deposit Amount,Withdrawal Amount,Remaining Deposit Balance,Description,Product LOB,Payment Method,Carrier Code,Processed User,Policy Status,Batch Number
Policy,Unum,F100182959,08D7362610,34930,NEWELL RUBBERMAID,0000,04/16/2026,BankDraftClearing,EFT Payment to Suspense,Active,4,4.33,0.00,4.33,Transfer to Account:  BankDraftClearing,P15204_L02,No Billing,10,Jane Bryan (DGF20),RPU,
Policy,Unum,F100100485,08D8875559,40112,CHICO'S INC.,0000,04/16/2026,LoanRepay,Lockbox Payment to Suspense,Active,4,81.80,0.00,81.80,Deposit to Policy Account: LoanRepay,P15204_L02,Direct Bill,10,Jane Bryan (DGF20),Lapsed,P972
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,Cash,Partial Processed,5,500.00,0.00,153.36,Deposit to Policy Account: BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,EFT Payment to Suspense,Active,5,43.33,0.00,43.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,EFT Payment to Suspense,Active,5,43.33,0.00,43.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,EFT Payment to Suspense,Active,5,43.33,0.00,43.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,EFT Payment to Suspense,Active,5,43.33,0.00,43.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,EFT Payment to Suspense,Active,5,43.33,0.00,43.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,EFT Payment to Suspense,Active,5,43.33,0.00,43.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100167972,08D9517928,36324,KINDRED HEALTHCARE,0004,04/15/2026,BankDraftClearing,EFT Payment to Suspense,Active,5,43.33,0.00,43.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,04/14/2026,BankDraftClearing,EFT Payment to Suspense,Active,6,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100106746,10000017391,49923,MILLIKEN & COMPANY,1001,04/13/2026,DirectBill,Deduct from Policy to Suspense,Active,7,519.78,0.00,519.78,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,No Billing,10,,Expired,
Policy,Unum,F100105810,10000017501,49923,MILLIKEN & COMPANY,1001,04/13/2026,DirectBill,Deduct from Policy to Suspense,Active,7,593.46,0.00,593.46,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,No Billing,10,,Expired,
Policy,Unum,F100098350,08D5984532,32614,ELEVATE TEXTILES INC. (PARENT COMPANY),1002,04/10/2026,BankDraftClearing,EFT Payment to Suspense,Active,10,40.30,0.00,40.30,Transfer to Account:  BankDraftClearing,P15204_L02,Direct Bill,10,Ania Thompson (GII21),Active,
Policy,Unum,F100098350,08D5984532,32614,ELEVATE TEXTILES INC. (PARENT COMPANY),1002,04/10/2026,BankDraftClearing,EFT Payment to Suspense,Active,10,40.30,0.00,40.30,Transfer to Account:  BankDraftClearing,P15204_L02,Direct Bill,10,Ania Thompson (GII21),Active,
Policy,Unum,F100200605,10000041275,76645,STATE OF TENNESSEE,4005,04/10/2026,BankDraftClearing,EFT Payment to Suspense,Active,10,614.74,0.00,614.74,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100085970,08D6591813,36607,PAPA JOHN'S INTERNATIONAL (SALARIED),0000,04/08/2026,LoanRepay,Check Payment to Suspense,Partial Processed,12,400.00,0.00,78.94,Deposit to Policy Account: LoanRepay,P15204_L02,Electronic Fund Transfer,10,Ava Crawley (#LFTSAP),Active,
Policy,Unum,F100111514,08D7281812,49923,MILLIKEN & COMPANY,1001,04/08/2026,LoanRepay,Check Payment to Suspense,Partial Processed,12,6000.00,0.00,1200.70,Deposit to Policy Account: LoanRepay,P15204_L02,Electronic Fund Transfer,10,Ava Crawley (#LFTSAP),Active,
Policy,Unum,F100162791,08D9608236,34302,BASSETT FURNITURE,0003,04/08/2026,DirectBill,Deduct from Policy to Suspense,Active,12,2891.07,0.00,2891.07,Returned from PremiumRenewal to Account: DirectBill,P15204_L02,No Billing,10,Kimberly Lane (D5H19),Death Claim,
Policy,Unum,F100106295,10000044458,49923,MILLIKEN & COMPANY,3001,04/07/2026,DirectBill,Deduct from Policy to Suspense,Active,13,67.49,0.00,67.49,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,No Billing,10,,Expired,
Policy,Unum,F100096146,08D5147884,32614,ELEVATE TEXTILES INC. (PARENT COMPANY),1002,04/06/2026,BankDraftClearing,EFT Payment to Suspense,Active,14,8.67,0.00,8.67,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100096146,08D5983024,32614,ELEVATE TEXTILES INC. (PARENT COMPANY),1002,04/06/2026,BankDraftClearing,EFT Payment to Suspense,Active,14,17.33,0.00,17.33,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100096146,08F5446211,32614,ELEVATE TEXTILES INC. (PARENT COMPANY),1002,04/06/2026,BankDraftClearing,EFT Payment to Suspense,Active,14,30.64,0.00,30.64,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100063634,10000005478,10022,ELEVATE TEXTILES,2003,04/06/2026,BankDraftClearing,EFT Payment to Suspense,Active,14,200.00,0.00,200.00,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100021000,10000041760,32455,UNION UNDERWEAR,2002,04/06/2026,BankDraftClearing,EFT Payment to Suspense,Active,14,43.22,0.00,43.22,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100062021,10000058212,10022,ELEVATE TEXTILES,2002,04/06/2026,BankDraftClearing,EFT Payment to Suspense,Active,14,188.38,0.00,188.38,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100051140,10000052760,75320,THOMASVILLE FURNITURE INDUSTRIES,1001,04/03/2026,BankDraftClearing,EFT Payment to Suspense,Active,17,159.81,0.00,159.81,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100038809,08D4237249,30663,COUNTY OF WILL,0000,04/01/2026,BankDraftClearing,EFT Payment to Suspense,Partial Processed,19,8.67,0.00,8.66,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100013217,08D5755280,33825,PROPEX INC.,1001,04/01/2026,BankDraftClearing,EFT Payment to Suspense,Active,19,41.90,0.00,41.90,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100012303,08D6345214,35652,STEWART ENTERPRISES,0001,04/01/2026,BankDraftClearing,EFT Payment to Suspense,Active,19,62.14,0.00,62.14,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100117067,08D8528136,33019,TENNESSEE STATE EMPLOYEES ASSOCIATION,0000,04/01/2026,BankDraftClearing,EFT Payment to Suspense,Active,19,8.67,0.00,8.67,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100104671,08D9510294,36924,CORIZON HEALTH,0000,04/01/2026,BankDraftClearing,EFT Payment to Suspense,Active,19,71.01,0.00,71.01,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,Mariia Cherniak (calcfocus_mariia.cherniak@calcfocus.com),Active,
Policy,Unum,F100131954,10000028273,36806,ABSOLUT FACILITIES MANAGEMENT,0200,04/01/2026,BankDraftClearing,EFT Payment to Suspense,Active,19,44.44,0.00,44.44,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,12,,Active,
Policy,Unum,F100048942,10000031071,01035,OLD DOMINION FREIGHT LINE INC,1001,04/01/2026,BankDraftClearing,EFT Payment to Suspense,Active,19,145.86,0.00,145.86,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100027415,10000015373,43545,KNOXVILLE NEWS-SENTINEL,1001,03/31/2026,DirectBill,Deduct from Policy to Suspense,Active,20,12912.57,0.00,12912.57,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,Direct Bill,10,,Matured,
Policy,Unum,F100019577,08D5368536,32455,UNION UNDERWEAR,1001,03/30/2026,ClaimAdjustment,Adjustment,Active,21,10.00,0.00,10.00,Deposit to Policy Account: ClaimAdjustment,P15204_L02,No Billing,10,Saurabh Thakare (DNV23),Death Claim Pending,
Policy,Unum,F100030047,10000015624,12322,ELEVATE TEXTILES INC.,2001,03/26/2026,DirectBill,Deduct from Policy to Suspense,Active,25,111.55,0.00,111.55,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,No Billing,10,,Expired,
Policy,Unum,F100044108,10000026633,72523,SPARTAN KING & CLEVELAND MILLS,5555,03/26/2026,BankDraftClearing,EFT Payment to Suspense,Active,25,42.08,0.00,42.08,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100088392,0810197,568,MCI,338,03/25/2026,BankDraftClearing,EFT Payment to Suspense,Active,26,164.76,0.00,164.76,Transfer to Account:  BankDraftClearing,P15206_L41,Electronic Fund Transfer,70,Ania Thompson (GII21),Active,
Policy,Unum,F100012999,08D5755310,33825,PROPEX INC.,1001,03/25/2026,BankDraftClearing,EFT Payment to Suspense,Active,26,94.61,0.00,94.61,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100060928,10000027210,10022,ELEVATE TEXTILES,5555,03/25/2026,BankDraftClearing,EFT Payment to Suspense,Active,26,51.41,0.00,51.41,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100058607,10000057008,10022,ELEVATE TEXTILES,5555,03/25/2026,BankDraftClearing,EFT Payment to Suspense,Active,26,13.92,0.00,13.92,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100019622,08D6025443,32455,UNION UNDERWEAR,2001,03/23/2026,BankDraftClearing,EFT Payment to Suspense,Active,28,67.29,0.00,67.29,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100027753,08D6354028,34090,BENEDICT COLLEGE,0000,03/23/2026,BankDraftClearing,EFT Payment to Suspense,Active,28,96.36,0.00,96.36,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100158968,10000040485,21122,SWIFT TEXTILES INC.,5555,03/23/2026,BankDraftClearing,EFT Payment to Suspense,Active,28,20.51,0.00,20.51,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100013436,08D5748534,33825,PROPEX INC.,1001,03/20/2026,BankDraftClearing,EFT Payment to Suspense,Active,31,31.25,0.00,31.25,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100103367,08D9251617,38389,NFI INDUSTRIES,0000,03/20/2026,Reinstatement,Lockbox Payment to Suspense,Partial Processed,31,286.00,0.00,23.76,Deposit to Policy Account: Reinstatement,P15204_L02,Direct Bill,10,Ania Thompson (GII21),Active,
Policy,Unum,F100028290,10000029247,34108,JOAN FABRICS CORPORATION,1001,03/20/2026,BankDraftClearing,EFT Payment to Suspense,Active,31,59.71,0.00,59.71,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100062078,10000031868,10022,ELEVATE TEXTILES,5555,03/20/2026,BankDraftClearing,EFT Payment to Suspense,Active,31,32.13,0.00,32.13,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100098205,08D5377332,32614,ELEVATE TEXTILES INC. (PARENT COMPANY),1002,03/19/2026,DirectBill,Lockbox Payment to Suspense,Active,32,26.00,0.00,26.00,Deposit to Policy Account: DirectBill,P15204_L02,No Billing,10,Jane Bryan (DGF20),RPU,P1486
Policy,Unum,F100050727,08D6065834,75320,THOMASVILLE FURNITURE INDUSTRIES,4001,03/19/2026,DirectBill,Check Payment to Suspense,Partial Processed,32,110.00,0.00,6.00,Deposit to Policy Account: DirectBill,P15204_L02,No Billing,10,Jane Bryan (DGF20),RPU,
Policy,Unum,F100050727,08D6065834,75320,THOMASVILLE FURNITURE INDUSTRIES,4001,03/19/2026,StopPayment,PIL,Active,32,1718.38,0.00,1718.38,Deposit to Policy Account: StopPayment,P15204_L02,No Billing,10,Jane Bryan (DGF20),RPU,
Policy,Unum,F100101556,08D7527253,71518,SONOCO PRODUCTS COMPANY,1001,03/19/2026,Reinstatement,Lockbox Payment to Suspense,Partial Processed,32,300.00,0.00,32.17,Deposit to Policy Account: Reinstatement,P15204_L02,Direct Bill,10,Ania Thompson (GII21),Active,
Policy,Unum,F100108827,08D9585685,49923,MILLIKEN & COMPANY,1001,03/19/2026,Reinstatement,Lockbox Payment to Suspense,Partial Processed,32,150.00,0.00,1.45,Deposit to Policy Account: Reinstatement,P15204_L02,Direct Bill,10,Mariia Cherniak (calcfocus_mariia.cherniak@calcfocus.com),Active,
Policy,Unum,F100017507,08D1488080,31900,BROWARD HEALTH FORMERLY N BROWARD HOSPITAL DIST,0005,03/18/2026,Reinstatement,Internal Transfer to Policy,Partial Processed,33,0.10,0.00,0.02,Transfer FROM Policy 08D1488080 Account: DirectBill TO Policy 08D1488080 Account: Reinstatement,P15204_L02,Direct Bill,10,Jane Bryan (DGF20),Active,
Policy,Unum,F100057996,10000001994,10022,ELEVATE TEXTILES,5555,03/18/2026,BankDraftClearing,EFT Payment to Suspense,Active,33,12.99,0.00,12.99,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100123863,4511779,771,Unum,944,03/18/2026,BankDraftClearing,EFT Payment to Suspense,Active,33,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,03/18/2026,BankDraftClearing,EFT Payment to Suspense,Active,33,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,03/18/2026,BankDraftClearing,EFT Payment to Suspense,Active,33,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,03/18/2026,BankDraftClearing,EFT Payment to Suspense,Active,33,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100123863,4511779,771,Unum,944,03/18/2026,BankDraftClearing,EFT Payment to Suspense,Active,33,15.50,0.00,15.50,Transfer to Account:  BankDraftClearing,P15206_L41,Direct Bill,70,Ania Thompson (GII21),Fund Pay,
Policy,Unum,F100013500,08D5748442,33825,PROPEX INC.,1001,03/17/2026,BankDraftClearing,EFT Payment to Suspense,Active,34,36.41,0.00,36.41,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100080733,08D7216191,37782,CELADON TRUCKING SERVICES INC.,0000,03/17/2026,LoanRepay,Check Payment to Suspense,Partial Processed,34,512.00,0.00,1.58,Deposit to Policy Account: LoanRepay,P15204_L02,Electronic Fund Transfer,10,Mariia Cherniak (calcfocus_mariia.cherniak@calcfocus.com),Active,
Policy,Unum,F100038257,08D5484431,33763,CITY OF ROCK HILL,0000,03/16/2026,BankDraftClearing,EFT Payment to Suspense,Active,35,40.78,0.00,40.78,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100148280,08D5758286,33287,THE HEIL ENVIRONMENTAL,0011,03/16/2026,BankDraftClearing,EFT Payment to Suspense,Active,35,37.75,0.00,37.75,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100138814,08D8119959,40014,CYPRESS ADMINISTRATIVE SERVICES,0000,03/16/2026,BankDraftClearing,EFT Payment to Suspense,Partial Processed,35,140.40,0.00,93.60,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100175194,10000004654,49823,MICHELIN NORTH AMERICA,5002,03/16/2026,BankDraftClearing,EFT Payment to Suspense,Partial Processed,35,99.20,0.00,74.40,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100058408,10000033923,10022,ELEVATE TEXTILES,5555,03/16/2026,BankDraftClearing,EFT Payment to Suspense,Active,35,37.45,0.00,37.45,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100137384,10000043317,28322,GALEY & LORD,5555,03/16/2026,BankDraftClearing,EFT Payment to Suspense,Active,35,16.52,0.00,16.52,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100060911,10000056739,10022,ELEVATE TEXTILES,5555,03/16/2026,BankDraftClearing,EFT Payment to Suspense,Active,35,21.85,0.00,21.85,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100156254,08D9508145,41407,THE GEO GROUP INC.,0000,03/12/2026,Reinstatement,Cash,Partial Processed,39,1000.00,0.00,9.88,Deposit to Policy Account: Reinstatement,P15204_L02,List Bill,10,Bhushan Chatnani (BV418),Active,
Policy,Unum,F100054813,08D9601971,34955,YKK CORPORATION OF AMERICA,0002,03/12/2026,Reinstatement,Cash,Active,39,1700.00,0.00,1700.00,Deposit to Policy Account: Reinstatement,P15204_L02,List Bill,10,Bhushan Chatnani (BV418),Fully Surrendered,
Policy,Unum,F100054685,08D9614887,34955,YKK CORPORATION OF AMERICA,0002,03/12/2026,Reinstatement,Cash,Partial Processed,39,200.00,0.00,83.00,Deposit to Policy Account: Reinstatement,P15204_L02,Direct Bill,10,Bhushan Chatnani (BV418),Active,
Policy,Unum,F100090199,10000023729,37323,INMAN MILLS,1002,03/12/2026,DirectBill,Deduct from Policy to Suspense,Active,39,832.94,0.00,832.94,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,No Billing,10,,Expired,
Policy,Unum,F100057154,08F9534822,38040,JONES APPAREL,0004,03/11/2026,Reinstatement,Cash,Active,40,375.00,0.00,375.00,Deposit to Policy Account: Reinstatement,P15204_L02,List Bill,10,Bhushan Chatnani (BV418),Terminated,
Policy,Unum,F100072957,08D5127440,00000,DIRECT BILL POLICIES,0000,03/10/2026,BankDraftClearing,EFT Payment to Suspense,Active,41,97.17,0.00,97.17,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100058992,10000013061,10022,ELEVATE TEXTILES,5555,03/10/2026,BankDraftClearing,EFT Payment to Suspense,Active,41,19.83,0.00,19.83,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100059142,10000017299,10022,ELEVATE TEXTILES,5555,03/10/2026,BankDraftClearing,EFT Payment to Suspense,Active,41,19.09,0.00,19.09,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100150687,10000025016,32709,S. L. WILLIAMSON CO. INC.,0000,03/10/2026,DirectBill,Lockbox Payment to Suspense,Partial Processed,41,1512.12,0.00,104.12,Deposit to Policy Account: DirectBill,P15204_L02,List Bill,10,Ania Thompson (GII21),Active,
Policy,Unum,F100135838,08D9154352,40304,PERFORMANCE FOOD GROUP (PFG) - MARSH INC.,0000,03/09/2026,General,Cash,Partial Processed,42,200.00,0.00,142.76,Deposit to Policy Account: General,P15204_L02,Direct Bill,10,HelpDesk HelpDesk (helpdesk),Active,
Policy,Unum,F100058708,10000002409,10022,ELEVATE TEXTILES,5555,03/09/2026,BankDraftClearing,EFT Payment to Suspense,Active,42,12.85,0.00,12.85,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
